timestamp,action,track_artist,track_title,track_album,query,tier,score,filename,username,length,bitrate,size,speed
2026-06-18T13:31:56,keep_preview,David Zowie,House Every Weekend,House Every Weekend (Radio Edit),House Every Weekend,Manual,360.0,@@hqlrp\mp3\David Zowie\House Every Weekend\David Zowie - House Every Weekend (Radio Edit).mp3,Athmos,182,320,320kb,2.18MB/s
2026-06-18T13:32:23,download_final,Calvin Harris,Summer,Motion,Summer intro,Intro / Title Only,443.0,@@eikha\ALL MUSIC\Calvin Harris - Summer (TMU Throwback Intro) (Clean).mp3,DJStan71,241,320,320kb,4.47MB/s
2026-06-18T13:34:46,download_final,"Estelle, Kanye West",American Boy,Shine,American Boy intro,Intro / Title Only,443.0,"MP3\DJ Pools\Dj Pools Music Pack [25 July 2025]\Russian Pack\Estelle, Kanye West - American Boy (Intro Clean) 119.mp3",zombies1337,294,320,320kb,2.34MB/s
2026-06-18T13:35:26,download_final,Darude,Sandstorm,Before the Storm,Darude Sandstorm intro,Intro / Exact,438.0,@@htouc\Music Sets\Various DJ Remixes\Darude - Sandstorm (Intro) (Clean).mp3,KJ_Jim,247,192,192kb,0.95MB/s
2026-06-18T13:36:14,download_final,Los Del Rio,Macarena,Hits Of The 90s,Los Del Rio Macarena intro,Intro / Exact,438.0,@@iobwp\complete\_smpls\hold up\Back To The Future [1993] Part. 9\Los Del Rio - Macarena (Dj Intro Short) (Clean) 103.mp3,auscience,191,320,320kb,0.88MB/s
2026-06-18T13:37:10,download_final,Black Eyed Peas,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas I Gotta Feeling intro,Intro / Exact,447.0,Music\beatport_tracks_2024-02\The Black Eyed Peas - I Gotta Feeling (Intro Clean).mp3,dj_scrapcirkit,285,320,320kb,19.47MB/s
2026-06-18T13:38:57,download_final,"Tame Impala, JENNIE",Dracula - JENNIE Remix,Dracula (Remix),Dracula - JENNIE Remix intro,Intro / Title Only,213.0,@@htouc\Music Sets\Promo Only\PO Other Stuff\PO Express Audio DJ Tools\PO Express Audio DJ Tools 2025-06 WK01\PO Express Audio DJ Tools 2026-02 WK03\Tame Impala & JENNIE - Dracula (PO Intro Edit - JENNIE Remix) (2026).mp3,KJ_Jim,207,320,320kb,0.95MB/s
2026-06-18T13:39:59,download_final,Kendrick Lamar,Not Like Us,Not Like Us,Kendrick Lamar Not Like Us intro,Intro / Exact,443.0,Music\#DJ Pools\GeneMige\2026\GeneMige Music Pack 009\SickMix - Party Hits Vol.18\- Not Like Us Kendrick Lamar (Sickmix Intro) (Clean) 101.mp3,beatrice.songbird2,294,320,320kb,3.50MB/s
2026-06-18T13:40:33,download_final,Travis Scott,goosebumps,Birds In The Trap Sing McKnight,Travis Scott goosebumps intro,Intro / Exact,408.0,Music\#DJ Pools\2026\2026-01\Dj Pools Music Pack _[16 January 2026].\Bangerz Army\Travis Scott Ft. Kendrick Lamar - Goosebumps (Intro Clean) 130.mp3,beatrice.songbird2,192,320,320kb,3.50MB/s
2026-06-18T13:41:06,download_final,"Cardi B, Bad Bunny, J Balvin",I Like It,Invasion of Privacy,I Like It intro,Intro / Title Only,226.75,@@eikha\ALL MUSIC\Cardi B - I Like It (Intro Clean).mp3,DJStan71,317,320,320kb,4.47MB/s
2026-06-18T13:41:49,download_final,Tyla,CHANEL,CHANEL,CHANEL intro,Intro / Title Only,436.0,"@@etrhu\My Music\House, Pop, Dance & Techno\2020's\Tyla - Chanel (2025)\04. Tyla - Chanel (Intro) (Clean).mp3",DJ T-Bone,217,161,161kb,0.43MB/s
2026-06-18T13:42:34,download_final,Lil Tecca,Ransom,Ransom,Ransom intro,Intro / Title Only,438.0,@@dlwfh\Hip hop\Lil Tecca - Ransom (Dj Rukus Intro Edit) (Clean).mp3,DJLee,138,320,320kb,0.60MB/s
2026-06-18T13:43:14,download_final,Central Cee,Doja,Doja,Doja intro,Intro / Title Only,405.0,@@xhojx\Music\Central Cee\@HEAVYHITSPOOL\Doja (HH Clean Intro).mp3,clf2008,137,320,320kb,1.48MB/s
2026-06-18T13:44:01,download_final,Central Cee,Doja,Doja,Doja intro,Intro / Title Only,443.0,Unsorted\All In One Partybreaks and Remixes\2025-10\Central Cee - Doja (Acap Outro) (Intro Clean).mp3,lwl,109,320,320kb,2.85MB/s
2026-06-18T13:46:04,download_final,"Clean Bandit, Jess Glynne",Rather Be,New Eyes,Rather Be intro,Intro / Title Only,358.0,@@ytgio\Music\Bistro Radio\2015\Clean Bandit ft Jess Glynne - Rather Be (CK Intro - Clean) 1A 121.mp3,morphik,238,320,320kb,0.57MB/s
